simulation,A_ind_cond,B_cor_cond,C_ind_uncond,D_cor_uncond
8901,5.1316716212555304,1.4919019039638814,0.24519338520949382,0.04975429218052113
8902,6.934667015274585,11.964098517384517,0.42952822852523426,0.600878103595546
8903,6.817419778498214,1.157574334713854,0.34374667425608985,0.04583664279293552
8904,4.679181515854924,2.307881162018652,0.1455407850066365,0.08171921495328684
8905,5.712813146698294,0.543081737995035,0.3141462888981118,0.03588191816973974
8906,6.41788227133564,4.950590658492051,0.24053243483947148,0.16732377101415724
8907,5.54586476645852,3.081629444891767,0.21336050411766608,0.09212218809886877
8908,6.249852799984011,9.164006436998488,0.1687698039645285,0.3865209879222014
8909,4.011597212416744,1.0137289109098413,0.13615954610754208,0.04272393542548663
8910,6.189092259270946,3.493632795109378,0.3953799000122525,0.1244133612464593
8911,7.383622582295921,3.050072200605828,0.34835171666770803,0.09172093761847339
8912,5.928210548873726,4.611565924051775,0.21671774480682063,0.1598298410191219
8913,6.736694803789809,8.443774096336169,0.30423419682191666,0.36074244818418116
8914,7.134769275400279,6.247144658496796,0.4204780435547726,0.2588024530094522
8915,4.361086565321289,2.3386080664726516,0.15356219483616712,0.08226053804790998
8916,5.919117407337441,15.749061988850201,0.35167651586410603,0.7975234410827944
8917,7.471813106689876,6.252285209295899,0.375847138703497,0.25899354469809693
8918,6.552616418438566,5.48566838475172,0.38282517210734085,0.19929534969783827
8919,5.262166738773856,5.684744883090229,0.2763599873804518,0.2040665462271695
8920,5.251989502127572,7.239064508843842,0.16825720350545245,0.29106477612946774
8921,6.92510531647707,13.397877842314525,0.28954843000737884,0.6698652204943264
8922,6.348111846997278,1.6142413562963143,0.25560372060448683,0.05147125694573233
8923,6.849529196797717,1.8743306993470488,0.32791688350104004,0.07345928899270682
8924,6.2681193296896724,3.613328174569768,0.26252221454716995,0.12662794688073142
8925,5.142513246636727,5.891197533683061,0.23602543277419433,0.22019376860556594
8926,6.361994571359921,6.462575806151883,0.2676478643765596,0.2655866384907906
8927,6.305669678122236,12.517223378263596,0.23188072849550104,0.6276032869030381
8928,3.5356835681755956,0.674673554966935,0.19230771881686629,0.03834513181044047
8929,5.762239020753383,12.831710689204776,0.304028441736273,0.6427368873568909
8930,7.430296326835354,7.848045071596363,0.39324064026745426,0.33104734650734025
8931,4.31097624805867,0.3238020949280184,0.23213644422955623,0.030382996307182133
8932,5.659872517343504,2.000304755525874,0.2366819860885201,0.0761519381494407
8933,4.457389029376271,7.857105231955691,0.13802625028084978,0.33141406071151996
8934,8.033956003970568,5.220490233593469,0.34272515808429216,0.19233645639406946
8935,5.789009982341079,3.5519574948653863,0.3413676563286465,0.12543779326144447
8936,5.440397739777759,15.929304331809984,0.2964999831582317,0.8116815246883868
8937,6.074584318136503,1.2342594212621412,0.21243225610342173,0.047495215652565315
8938,5.022046195962163,9.193147230662264,0.11157424776861136,0.387587241369812
8939,4.28879196268815,13.890223281568808,0.2534607526055295,0.6912541888783701
8940,5.269337149984323,5.700654283806123,0.32132214871762055,0.20446216824465485
8941,6.82800929810267,3.4815166625748266,0.3456219390953823,0.12414119262052407
8942,4.8498035617520685,5.699435013070871,0.18811116145303935,0.20443188219539007
8943,5.6043842531137305,0.8352053029862142,0.2596020908570392,0.04099752187018327
8944,4.449482985969852,8.99509700135006,0.26702562840846483,0.3802542791539109
8945,6.103867316772512,20.618715439849655,0.24033637355716017,1.1760225248397362
8946,5.210100591601573,4.5832314709569575,0.20135851213745562,0.15918010067806407
8947,5.194343878364121,0.7126972974010704,0.18160282813956533,0.03920601304317751
8948,5.009960948593752,1.266248246499178,0.24034081801549395,0.04784501165663614
8949,6.220024756474417,1.7297264509549986,0.25390633781563876,0.0532139725180954
8950,6.794639393706894,0.7424957884676577,0.3265202649618972,0.03968582297459459
8951,4.999984541888003,11.560072710857977,0.23418697794088505,0.5812907064549112
8952,5.168611752619299,1.0147731536025106,0.16592007127360398,0.04274595603854067
8953,6.313242292995224,2.880887096073075,0.24650942708723847,0.0894932846537834
8954,7.8444428255344345,13.66844637280358,0.4159489296726013,0.6827587517847787
8955,6.627264756343043,2.331816000253133,0.2980895653373316,0.08214160922192623
8956,5.110700667463621,9.815139512890383,0.3063075106419613,0.47517375247802474
8957,4.9834422961562215,11.773972103906285,0.2783362479230021,0.5916564140870076
8958,6.334560056303854,16.479687397949657,0.3216508548788048,0.8384811751996704
8959,5.061155856198041,5.525683413629529,0.1993264615938997,0.20005719282984646
8960,4.651880418076516,7.567395653507211,0.27244424898724956,0.30340517830511177
8961,6.005870757894805,6.645962209895537,0.19630319364606677,0.2724302652664448
8962,5.7801118341152895,5.188861647871429,0.2945585335726822,0.19148657806784117
8963,5.47768175469255,16.14940808163109,0.3015922331196421,0.822448467712203
8964,5.767619802501187,13.518981713869307,0.2698945862754437,0.6756428966202848
8965,5.014944974778778,1.2970404007576475,0.2161593358403665,0.04847545255578535
